areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
nation,England,E92000001,2021-02-26,1083,3653272
nation,England,E92000001,2021-02-25,5491,3652189
nation,England,E92000001,2021-02-24,7036,3646698
nation,England,E92000001,2021-02-23,8124,3639662
nation,England,E92000001,2021-02-22,9920,3631538
nation,England,E92000001,2021-02-21,6808,3621618
nation,England,E92000001,2021-02-20,6916,3614810
nation,England,E92000001,2021-02-19,8923,3607894
nation,England,E92000001,2021-02-18,9921,3598971
nation,England,E92000001,2021-02-17,10025,3589050
nation,England,E92000001,2021-02-16,10838,3579025
nation,England,E92000001,2021-02-15,12496,3568187
nation,England,E92000001,2021-02-14,7571,3555691
nation,England,E92000001,2021-02-13,7765,3548120
nation,England,E92000001,2021-02-12,10594,3540355
nation,England,E92000001,2021-02-11,11296,3529761
nation,England,E92000001,2021-02-10,11890,3518465
nation,England,E92000001,2021-02-09,12291,3506575
nation,England,E92000001,2021-02-08,13930,3494284
nation,England,E92000001,2021-02-07,10193,3480354
nation,England,E92000001,2021-02-06,10606,3470161
nation,England,E92000001,2021-02-05,14029,3459555
nation,England,E92000001,2021-02-04,16230,3445526
nation,England,E92000001,2021-02-03,17467,3429296
nation,England,E92000001,2021-02-02,17685,3411829
nation,England,E92000001,2021-02-01,20182,3394144
nation,England,E92000001,2021-01-31,13768,3373962
nation,England,E92000001,2021-01-30,15012,3360194
nation,England,E92000001,2021-01-29,19729,3345182
nation,England,E92000001,2021-01-28,21905,3325453
nation,England,E92000001,2021-01-27,23304,3303548
nation,England,E92000001,2021-01-26,24500,3280244
nation,England,E92000001,2021-01-25,27191,3255744
nation,England,E92000001,2021-01-24,15509,3228553
nation,England,E92000001,2021-01-23,19921,3213044
nation,England,E92000001,2021-01-22,26983,3193123
nation,England,E92000001,2021-01-21,28806,3166140
nation,England,E92000001,2021-01-20,31826,3137334
nation,England,E92000001,2021-01-19,36038,3105508
nation,England,E92000001,2021-01-18,40795,3069470
nation,England,E92000001,2021-01-17,26236,3028675
nation,England,E92000001,2021-01-16,27673,3002439
nation,England,E92000001,2021-01-15,36828,2974766
nation,England,E92000001,2021-01-14,38573,2937938
nation,England,E92000001,2021-01-13,41201,2899365
nation,England,E92000001,2021-01-12,44738,2858164
nation,England,E92000001,2021-01-11,52092,2813426
nation,England,E92000001,2021-01-10,32865,2761334
nation,England,E92000001,2021-01-09,35447,2728469
nation,England,E92000001,2021-01-08,42377,2693022
nation,England,E92000001,2021-01-07,46861,2650645
nation,England,E92000001,2021-01-06,51359,2603784
nation,England,E92000001,2021-01-05,58099,2552425
nation,England,E92000001,2021-01-04,69143,2494326
nation,England,E92000001,2021-01-03,49539,2425183
nation,England,E92000001,2021-01-02,54200,2375644
