areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
nation,England,E92000001,2021-07-13,10111,4550298
nation,England,E92000001,2021-07-12,34756,4540187
nation,England,E92000001,2021-07-11,26063,4505431
nation,England,E92000001,2021-07-10,24092,4479368
nation,England,E92000001,2021-07-09,28155,4455276
nation,England,E92000001,2021-07-08,29124,4427121
nation,England,E92000001,2021-07-07,33361,4397997
nation,England,E92000001,2021-07-06,30819,4364636
nation,England,E92000001,2021-07-05,29406,4333817
nation,England,E92000001,2021-07-04,21279,4304411
nation,England,E92000001,2021-07-03,20095,4283132
nation,England,E92000001,2021-07-02,21656,4263037
nation,England,E92000001,2021-07-01,23550,4241381
nation,England,E92000001,2021-06-30,23363,4217831
nation,England,E92000001,2021-06-29,22654,4194468
nation,England,E92000001,2021-06-28,22847,4171814
nation,England,E92000001,2021-06-27,15031,4148967
nation,England,E92000001,2021-06-26,13157,4133936
nation,England,E92000001,2021-06-25,14498,4120779
nation,England,E92000001,2021-06-24,14675,4106281
nation,England,E92000001,2021-06-23,14388,4091606
nation,England,E92000001,2021-06-22,13187,4077218
nation,England,E92000001,2021-06-21,12388,4064031
nation,England,E92000001,2021-06-20,7998,4051643
nation,England,E92000001,2021-06-19,6932,4043645
nation,England,E92000001,2021-06-18,8502,4036713
nation,England,E92000001,2021-06-17,9195,4028211
nation,England,E92000001,2021-06-16,9155,4019016
nation,England,E92000001,2021-06-15,8858,4009861
nation,England,E92000001,2021-06-14,8682,4001003
nation,England,E92000001,2021-06-13,5900,3992321
nation,England,E92000001,2021-06-12,5246,3986421
nation,England,E92000001,2021-06-11,6335,3981175
nation,England,E92000001,2021-06-10,6531,3974840
nation,England,E92000001,2021-06-09,6700,3968309
nation,England,E92000001,2021-06-08,6426,3961609
nation,England,E92000001,2021-06-07,6594,3955183
nation,England,E92000001,2021-06-06,4609,3948589
nation,England,E92000001,2021-06-05,3859,3943980
nation,England,E92000001,2021-06-04,4742,3940121
nation,England,E92000001,2021-06-03,4967,3935379
nation,England,E92000001,2021-06-02,4919,3930412
nation,England,E92000001,2021-06-01,4329,3925493
nation,England,E92000001,2021-05-31,3059,3921164
nation,England,E92000001,2021-05-30,2533,3918105
nation,England,E92000001,2021-05-29,2390,3915572
nation,England,E92000001,2021-05-28,2826,3913182
nation,England,E92000001,2021-05-27,2959,3910356
